Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,match_status,source
2,Doroteo Arnaiz,Spanish,Male,1936.0,,,not_found,
3,Bill Arnold,American,Male,1941.0,,,uncertain,
4,Charles Arnoldi,American,Male,1946.0,,Q1063584,matched,Wikidata
5,Per Arnoldi,Danish,Male,1941.0,,Q3373273,matched,Wikidata
6,Danilo Aroldi,Italian,Male,1925.0,1989.0,Q55217954,matched,Wikidata
7,Bill Aron,American,Male,1941.0,,Q4907949,matched,Wikidata
9,David Aronson,American,Male,1923.0,2015.0,Q5230870,matched,Wikidata
10,Irene Aronson,American,Female,1918.0,1992.0,Q19748568,matched,Wikidata
12,Jüri Arrak,Estonian,Male,1936.0,2022.0,Q927697,matched,Wikidata
18,Artko,,,,,,uncertain,
22,Isidora Aschheim,Israeli,Female,,,,not_found,
24,Donald Ashcraft,American,Male,1927.0,,,not_found,
26,Göran Åslin,Swedish,,1940.0,,Q77353556,matched,Wikidata
28,Geneviève Asse,French,Female,1923.0,2021.0,Q1978192,matched,Wikidata
30,Sergio Asti,Italian,Male,1926.0,2021.0,Q3956011,matched,Wikidata
32,Atelier Eggers,French,,,,Q79460831,matched,Wikidata
33,A.A.P.,American,,,,,uncertain,
36,Eero Aarnio,Finnish,Male,1932.0,,Q707025,matched,Wikidata
38,Magdalena Abakanowicz,Polish,Female,1930.0,2017.0,Q158080,matched,Wikidata
43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1900.0,,,not_found,
44,Robert Abel,American,Male,1937.0,2001.0,Q7341326,matched,Wikidata
46,Sigmund Abeles,American,Male,1934.0,2025.0,Q26252906,matched,Wikidata
49,Ivor Abrahams,British,Male,1935.0,2015.0,Q11714362,matched,Wikidata
52,Rodolfo Abularach,Guatemalan,Male,1933.0,2020.0,Q7357131,matched,Wikidata
53,Vito Acconci,American,Male,1940.0,2017.0,Q433471,matched,Wikidata
54,Milton Ackoff,American,Male,1915.0,,,not_found,
55,Norman Ackroyd,British,Male,1938.0,2024.0,Q7051892,matched,Wikidata
59,Valerio Adami,Italian,Male,1935.0,,Q562139,matched,Wikidata
61,Alice Adams,American,Female,1930.0,,,uncertain,
64,Dennis Adams,American,Male,1948.0,,Q5258132,matched,Wikidata
66,Robert Adams,American,Male,1937.0,1984.0,Q135099,matched,Wikidata
67,Shelby Lee Adams,American,Female,1950.0,,Q3481792,matched,Wikidata
72,Pic Adrian,Romanian,Male,1910.0,2008.0,Q16010052,matched,Wikidata
76,Nicholas Africano,American,Male,1948.0,,,not_found,
78,Aftograf,Russian,,,,Q79493756,matched,Wikidata
79,Agam (Yaacov Agam),Israeli,Male,1928.0,,,not_found,
81,Kathleen Agnoli,American,Female,1945.0,,,not_found,
92,Kinji Akagawa,Japanese,Male,1940.0,,Q6413885,matched,Wikidata
93,Ryoji Akiyama,Japanese,Male,1942.0,,,not_found,
94,Munira Al-Kazi,Kuwaiti,Female,1939.0,,Q77348520,matched,Wikidata
98,Beatrice Albert,American,Female,,,,not_found,
101,Album-miscellaneous,Various,,,,,not_found,
105,A. Alcorn,American,,,,,uncertain,
106,Alan Aldridge,British,Male,1943.0,2017.0,Q3480369,matched,Wikidata
