Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,match_status,source
2,Doroteo Arnaiz,Spanish,Male,1936.0,,,,
3,Bill Arnold,American,Male,1941.0,,,,
4,Charles Arnoldi,American,Male,1946.0,,,,
5,Per Arnoldi,Danish,Male,1941.0,,,,
6,Danilo Aroldi,Italian,Male,1925.0,,,,
7,Bill Aron,American,Male,1941.0,,,,
9,David Aronson,American,Male,1923.0,,,,
10,Irene Aronson,American,Female,1918.0,,,,
12,Jüri Arrak,Estonian,Male,1936.0,,,,
18,Artko,,,,,,,
22,Isidora Aschheim,Israeli,Female,,,,,
24,Donald Ashcraft,American,Male,1927.0,,,,
26,Göran Åslin,Swedish,,1940.0,,,,
28,Geneviève Asse,French,Female,1923.0,,,,
30,Sergio Asti,Italian,Male,1926.0,,,,
32,Atelier Eggers,French,,,,,,
33,A.A.P.,American,,,,,,
36,Eero Aarnio,Finnish,Male,1932.0,,,,
38,Magdalena Abakanowicz,Polish,Female,1930.0,,,,
43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1900.0,,,,
44,Robert Abel,American,Male,1937.0,,,,
46,Sigmund Abeles,American,Male,1934.0,,,,
49,Ivor Abrahams,British,Male,1935.0,,,,
52,Rodolfo Abularach,Guatemalan,Male,1933.0,,,,
53,Vito Acconci,American,Male,1940.0,,,,
54,Milton Ackoff,American,Male,1915.0,,,,
55,Norman Ackroyd,British,Male,,,,,
59,Valerio Adami,Italian,Male,1935.0,,,,
61,Alice Adams,American,Female,1930.0,,,,
64,Dennis Adams,American,Male,1948.0,,,,
66,Robert Adams,American,Male,1937.0,,,,
67,Shelby Lee Adams,American,Female,1950.0,,,,
72,Pic Adrian,Romanian,Male,1910.0,,,,
76,Nicholas Africano,American,Male,1948.0,,,,
78,Aftograf,Russian,,,,,,
79,Agam (Yaacov Agam),Israeli,Male,1928.0,,,,
81,Kathleen Agnoli,American,Female,1945.0,,,,
92,Kinji Akagawa,Japanese,Male,1940.0,,,,
93,Ryoji Akiyama,Japanese,Male,1942.0,,,,
94,Munira Al-Kazi,Kuwaiti,Female,1939.0,,,,
98,Beatrice Albert,American,Female,,,,,
101,Album-miscellaneous,Various,,,,,,
105,A. Alcorn,American,,,,,,
106,Alan Aldridge,British,Male,1943.0,,,,
107,Pierre Alechinsky,Belgian,Male,1927.0,,,,
108,Peter Alexander,American,Male,1939.0,,,,
111,Carlo Alfano,Italian,Male,,,,,
112,José R. Alicea,American,Male,1928.0,,,,
113,Leopoldo and Guiseppe Alinari,Italian,,,,,,
114,James Alinder,American,Male,1941.0,,,,
117,William Allan,American,Male,1936.0,,,,
119,Harry Allen,American,Male,1964.0,,,,
120,Terry Allen,American,Male,1943.0,,,,
123,Carlos Alonso,Argentine,Male,1929.0,,,,
126,Henry Altchek,American,Male,1943.0,,,,
128,Hobie Alter,American,Male,1933.0,,,,
131,Giacchino Altobelli,Italian,Male,1814.0,,,,
136,Dag Alveng,Norwegian,Male,1953.0,,,,
137,Getulio Alviani,Italian,Male,1939.0,,,,
139,Kunihiro Amano,Japanese,Male,,,,,
140,Jim Amaral,American,Male,1933.0,,,,
141,Emilio Ambasz,Argentine,Male,1943.0,,,,
142,M. Ameen,Nationality unknown,,,,,,
144,Woody van Amen,Dutch,Male,1936.0,,,,
145,Gregory Amenoff,American,Male,1948.0,,,,
152,Ralph Ammirati,American,Male,,,,,
153,Emma Amos,American,Female,1938.0,,,,
155,William Anastasi,American,Male,1933.0,,,,
157,Stephen Ancona,American,Male,1932.0,,,,
158,Jiþi Anderle,Czech,Male,1936.0,,,,
160,Karin Schou Andersen,Danish,Female,1953.0,,,,
163,Dennis Anderson,American,Male,1948.0,,,,
166,Jerry Anderson,American,Male,1938.0,,,,
167,John Anderson,British,Male,1928.0,,,,
168,Neil Anderson,American,Male,1933.0,,,,
170,Monika Andersson,Swedish,Female,1957.0,,,,
172,Joe Andoe,American,Male,1955.0,,,,
174,Carl Andre,American,Male,1935.0,,,,
175,Pat Andrea,Dutch,Male,1942.0,,,,
176,A. Andreas,French,,,,,,
177,Henning Andreasen,Danish,Male,1923.0,,,,
179,Mariano Andreù,Spanish,Male,1901.0,,,,
182,Claudia Andujar,American,Female,1931.0,,,,
185,Bruce Angrave,British,Male,,,,,
193,David Annesley,British,Male,1936.0,,,,
194,Horst Antes,German,Male,1936.0,,,,
195,William Anthony,American,Male,1934.0,,,,
198,Garo Antreasian,American,Male,1922.0,,,,
200,Richard Anuszkiewicz,American,Male,1930.0,,,,
201,Aoki Toshio,,,,,,,
202,Carl Apfelschnitt,American,Male,1948.0,,,,
204,Leon Appelbaum,American,Male,,,,,
205,Ida Applebroog,American,Female,1929.0,,,,
215,Tamotsu Arikawa,Japanese,Male,,,,,
218,Alda Maria Armagni,Argentine,Female,,,,,
219,Siah Armajani,American,Male,1939.0,,,,
221,Armando,Dutch,Male,1929.0,,,,
222,F. Armbruster,Nationality unknown,,,,,,
232,Conrad Atkinson,British,Male,1940.0,,,,
234,Terry Atkinson,British,Male,1939.0,,,,
236,Dotty Attie,American,Female,1938.0,,,,
240,Frank Auerbach,British,Male,1931.0,,,,
242,Keith James Aulik,Nationality unknown,Male,,,,,
245,Irving Austin,American,Male,,,,,
251,David Avison,American,Male,,,,,
252,Mordechai Avniel,Israeli,Male,,,,,
255,Ay-O,Japanese,Male,1931.0,,,,
256,Alice Aycock,American,Female,1946.0,,,,
259,Luis Cruz Azaceta,American,Male,1942.0,,,,
261,Kengiro Azuma,Japanese,Male,1926.0,,,,
266,Bacard Fils,French,Male,,,,,
269,Elvira Bach,German,Female,1951.0,,,,
270,Olof Backman,Swedish,Male,1899.0,,,,
271,Olof Backstrom,Finnish,Male,1922.0,,,,
275,Karl Baden,American,Male,1952.0,,,,
276,Mowry Thatcher Baden,American,Male,1936.0,,,,
279,Frank Badur,German,Male,1944.0,,,,
280,Donald Baechler,American,Male,1956.0,,,,
281,Jo Baer,American,Female,1929.0,,,,
284,Myrna Báez,American,Female,1931.0,,,,
286,Heinz Bahr,German,Male,1934.0,,,,
288,Oscar Bailey,American,Male,1925.0,,,,
289,William Bailey,American,Male,1930.0,,,,
293,E. Bakalowitz Söhne,Austrian,,1845.0,,,,
294,Carl Baker,American,Male,,,,,
296,Mikal Baker,American,Male,1946.0,,,,
299,Gerhard H. Bakker,American,Male,,,,,
304,John Baldessari,American,Male,1931.0,,,,
315,Alexander Bally,American,Male,1938.0,,,,
319,Thomas Bamberger,American,Male,1948.0,,,,
320,McDonald (Mackey Jeffries) Bane,American,Female,1928.0,,,,
321,Colette Bangert,American,Female,1934.0,,,,
327,Anthony Barboza,American,Male,1944.0,,,,
329,Miquel Barcelo,Spanish,Male,1957.0,,,,
330,Peter Bardazzi,American,Male,1943.0,,,,
333,George Barker,Australian,Male,1942.0,,,,
337,Cyril H. Barnes,American,Male,,,,,
339,Robert Barnes,American,Male,1934.0,,,,
343,Tina Barney,American,Female,1945.0,,,,
345,Martin Barooshian,American,Male,1929.0,,,,
347,Steve Barraclough,British,Male,,,,,
349,Susan Barron,American,Female,1947.0,,,,
350,Thomas F. Barrow,American,Male,1938.0,,,,
352,Robert Barry,American,Male,1936.0,,,,
353,Robert Bart,American,Male,1923.0,,,,
354,Frances Barth,American,Female,1946.0,,,,
357,Jennifer Bartlett,American,Female,1941.0,,,,
359,Carlo Bartoli,Italian,Male,1931.0,,,,
361,Joseph Bartscherer,American,Male,1954.0,,,,
362,Gianfranco Baruchello,Italian,Male,1924.0,,,,
366,Georg Baselitz,German,Male,1938.0,,,,
368,Mati Basis,Israeli,Male,1933.0,,,,
371,Joel Bass,American,Male,1943.0,,,,
373,Giampiero Bassi,Italian,,1926.0,,,,
374,Miriam Bat-Yosef,German,Female,1931.0,,,,
379,Wall Batterton,British,Male,1932.0,,,,
382,"Harry W. Batz, Jr.",American,Male,,,,,
386,Mary Bauermeister,American,Female,1934.0,,,,
387,Bauhaus,German,,,,,,
388,Marilyn Baum,American,Female,1939.0,,,,
390,Hans Theo Baumann,German,Male,1924.0,,,,
393,Lothar Baumgarten,German,Male,1944.0,,,,
396,Glen Baxter,British,Male,,,,,
397,Iain Baxter&,Canadian,Male,1936.0,,,,
401,Ed Baynard,American,Male,1940.0,,,,
402,Thomas Bayrle,German,Male,1937.0,,,,
403,Douglas Baz,American,Male,1943.0,,,,
411,Mark Beard,American,Male,1956.0,,,,
414,Bruce Beasley,American,Male,1939.0,,,,
418,Leslie Beaton,American,Female,,,,,
421,Alessandro Becchi,Italian,Male,1946.0,,,,
424,Robert Bechtle,American,Male,1932.0,,,,
426,A. Becker,German,,,,,,
428,Bill Beckley,American,Male,1946.0,,,,
436,Hedda Beese,German,Female,1944.0,,,,
440,John Behringer,American,Male,1939.0,,,,
444,Larry Bell,American,Male,1939.0,,,,
448,Joseph Bellanca,American,Male,1930.0,,,,
451,Mario Bellini,Italian,Male,1935.0,,,,
456,Rossella Bellusci,Italian,Female,1947.0,,,,
457,Giandomenico Belotti,Italian,Male,1922.0,,,,
458,Christian Belpaire,Congolese,Male,1949.0,,,,
461,David Ben Shaul,Israeli,Male,,,,,
464,Adolf Benca,American,Male,1959.0,,,,
466,C. Whitney Bender,American,,1929.0,,,,
467,Niels Sylvester Bendtsen,Danish,Male,1943.0,,,,
468,Nair Benedicto,Brazilian,Female,1940.0,,,,
471,Lynda Benglis,American,Female,1941.0,,,,
472,Billy Al Bengston,American,Male,1934.0,,,,
473,Jim Bengston,American,Male,1942.0,,,,
474,Anthony Benjamin,British,Male,,,,,
481,David Bentley,American,Male,1938.0,,,,
489,Ed Bereal,American,Male,1937.0,,,,
490,Stephen Lynn Berens,American,Male,1952.0,,,,
491,Berger (?),British,,1938.0,,,,
492,Charles Berger,American,Male,1943.0,,,,
496,Håkan Bergkvist,Swedish,Male,1946.0,,,,
498,Paul Bergtold,Nationality unknown,Male,,,,,
506,Zeke Berman,American,Male,1951.0,,,,
509,Thoni Bern,Swiss,,,,,,
518,Janez Bernik,Yugoslav,Male,1933.0,,,,
519,Judith Bernstein,American,Female,1942.0,,,,
523,Bertall & Cie.,French,,,,,,
524,M. Berthaud,French,,,,,,
525,Palme Berthold,,,,,,,
530,Gianni Bertini,Italian,Male,1922.0,,,,
532,Emilio Bertonati,Italian,Male,,,,,
535,Ruth Bessoudo Courvoisier,Brazilian,Female,,,,,
536,Alan Randall Best,Canadian,Male,1958.0,,,,
537,William Betsch,American,Male,,,,,
541,Art Bevacqua,Nationality unknown,Male,,,,,
544,Jyoti Bhatt,Indian,Male,1934.0,,,,
545,Domenico Bianchi,Italian,Male,1955.0,,,,
548,Carl Bianga,German,Male,,,,,
549,Alberto Biasi,Italian,Male,1937.0,,,,
550,Guido Biasi,Italian,Male,1933.0,,,,
551,Ashley Bickerton,British,Male,1959.0,,,,
555,James Biederman,American,Male,1947.0,,,,
563,Manfred Bingler,Swiss,Male,1928.0,,,,
565,Robert Birmelin,American,Male,1933.0,,,,
569,James Bishop,American,Male,1927.0,,,,
570,Michael Bishop,American,Male,1946.0,,,,
571,Maureen Bisilliat,American,Female,1931.0,,,,
579,Dolores Dembus Bittleman,American,Female,1931.0,,,,
581,Judith Black,American,Female,1945.0,,,,
583,Roman Black,Nationality unknown,Male,,,,,
585,Elizabeth Blackadder,British,Female,1931.0,,,,
587,Tom Blackwell,American,Male,1938.0,,,,
590,Jean-Charles Blais,French,Male,1956.0,,,,
591,Jeffrey Blake,American,Male,1954.0,,,,
592,Peter Blake,British,Male,1932.0,,,,
594,Werner Blaser,Swiss,Male,1924.0,,,,
597,Ross Bleckner,American,Male,1949.0,,,,
599,René Bleibtreu,French,Male,1920.0,,,,
601,Blessum,Nationality unknown,,,,,,
605,Pierrette Bloch,French,Female,1928.0,,,,
606,Clarence Lincoln Block,Nationality unknown,Male,,,,,
607,Gay Block,American,Female,1942.0,,,,
608,Barbara Bloom,American,Female,1951.0,,,,
610,Vern Blosum,American,Male,1936.0,,,,
614,Donald Blumberg,American,Male,1935.0,,,,
615,Anna Blume,German,Female,1937.0,,,,
625,Mel Bochner,American,Male,1940.0,,,,
626,Bengt Böckman,Swedish,Male,1936.0,,,,
627,Peter Bodner,Nationality unknown,Male,,,,,
631,Marinus Boezem,Dutch,Male,1934.0,,,,
632,Ricardo Bofill,Spanish,Male,1939.0,,,,
633,Arthur Emil Bofinger,Swiss,Male,1909.0,,,,
634,Jóhanna Boga,Icelandic,Female,,,,,
635,Varujan Boghosian,American,Male,1926.0,,,,
638,Blythe Bohnen,American,Female,1940.0,,,,
639,Olaf von Bohr,Austrian,Male,1927.0,,,,
641,Bruce Boice,American,Male,1941.0,,,,
642,Charles Boily,French,Male,,,,,
643,Boissonas,Swiss,,,,,,
646,Roger Bolomey,American,Male,1918.0,,,,
647,Jay Bolotin,American,Male,1949.0,,,,
649,Christian Boltanski,French,Male,1944.0,,,,
653,Giorgio Bompadre,Italian,Male,,,,,
654,Bona,Italian,Female,1926.0,,,,
655,Claus Bonderup,Danish,Male,1943.0,,,,
656,Emile Bondonneau,French,Male,,,,,
664,Paolo Boni,Italian,Male,1926.0,,,,
666,William Bonnell,American,Male,,,,,
668,Maria Bonomi,Brazilian,Female,1935.0,,,,
669,Robert Bononno,American,Male,,,,,
670,Lee Bontecou,American,Female,1931.0,,,,
671,Fabio Bonzi,Italian,Male,1943.0,,,,
673,Peter Booth,Australian,Male,1940.0,,,,
674,Osvaldo Borda,Argentine,Male,1929.0,,,,
677,Wendela Boreel,British,Female,,,,,
682,Jonathan Borofsky,American,Male,1942.0,,,,
684,Arnold von Borsig,German,Male,,,,,
685,Elena Borstein,American,Female,1946.0,,,,
688,Derek Boshier,British,Male,1937.0,,,,
689,Richard Bosman,Australian,Male,1944.0,,,,
690,Michael P. Bosniak,American,Male,,,,,
692,Check  Boterf,American,Male,1934.0,,,,
693,Fernando Botero,Colombian,Male,1932.0,,,,
696,Mario Botta,Swiss,Male,1943.0,,,,
697,Kenneth J. Botto,American,Male,1937.0,,,,
700,Jean Boucher,French,Male,,,,,
702,Bouillon,French,,,,,,
704,Bart Boumans,Dutch,Male,,,,,
709,Jouineau Bourduge,French,,,,,,
714,J. Bouski,Polish,,,,,,
717,Boutrou,French,,,,,,
718,Lynn Bowers,American,Male,1932.0,,,,
719,Frank Bowling,Guyanese,Male,1936.0,,,,
722,Fionnuala Boyd,British,Female,1944.0,,,,
724,Mark Boyle,British,Male,1934.0,,,,
729,Su Braden,British,Female,1940.0,,,,
730,Martin Bradley,British,Male,,,,,
731,Paul Bradley,American,Male,1960.0,,,,
733,Dove Bradshaw,American,Male,1949.0,,,,
739,Hans Brand,German,Male,,,,,
747,Pieter Brattinga,Dutch,Male,1931.0,,,,
750,Braun et Compagnie,French,Male,,,,,
