Artist ID,Name,Nationality,Gender,Birth Year,Death Year
119,Harry Allen,American,Male,1964.0,
731,Paul Bradley,American,Male,1960.0,
888,Richmond Burton,American,Male,1960.0,
937,Nickie Campbell,American,,1962.0,
1049,Centrokappa Design and Communication,Italian,,1972.0,
1293,Meg Cranston,American,Female,1960.0,
1294,Crash (John Matos),American,Male,1961.0,
1420,Daze (Chris Ellis),American,Male,1962.0,
1440,Jérôme De Perlinghi,Belgian,Male,1961.0,
1628,Doug Dubois,American,Male,1960.0,
1953,Foster Associates,British,,1967.0,
2039,Adam Fuss,British,Male,1961.0,
3224,Mark Kostabi,American,Male,1960.0,
3321,K2 Design Studio,Japanese,,1993.0,
4062,Rubén Ortiz-Torres,Mexican,Male,1964.0,
4250,"NEC Design, Ltd.",Japanese,,1971.0,
4480,Hally Pancer,American,Female,1961.0,
4656,William Lansing Plumb and Associates,American,,1963.0,
5005,K.O.S. (Kids of Survival),American,,1982.0,
5213,Chris Schiavo,American,Male,1961.0,
5311,Carole Seborovski,American,Female,1960.0,
5415,Thomas Sicurella,American,Male,1960.0,
5457,SITE (Sculpture in the Environment),American,,1970.0,
5636,Mark Steinmetz,American,Male,1961.0,
5967,Thomas Tulis,American,Male,1961.0,
6053,Meyer Vaisman,American,Male,1960.0,
6411,Marc Wise,American,Male,1964.0,
6599,Sean Kalish,American,Male,1981.0,
6602,Lorna Simpson,American,Female,1960.0,
6610,Christopher Loew,American,Male,1963.0,
6614,William L. Tolan,American,Male,1963.0,
6635,Jac Leirner,Brazilian,Female,1961.0,
6841,Zephyr,American,,1960.0,
6842,Haze,American,,1961.0,
6892,Miro Svolik,Czech,Male,1960.0,
6902,Glenn Ligon,American,Male,1960.0,
6905,Damien Hirst,British,Male,1965.0,
6908,Marc Quinn,British,Male,1964.0,
6909,Gavin Turk,British,Male,1965.0,
6910,Rachel Whiteread,British,Female,1963.0,
6921,Steven Pippin,British,Male,1960.0,
6923,Carl Pope,American,Male,1961.0,
6944,Steve McGugan,American,Male,1960.0,
6955,OMA (Office for Metropolitan Architecture),Dutch,,1975.0,
6975,Via Lewandowsky,German,Male,1963.0,
6989,Paola Ferrario,Italian,Female,1963.0,
6996,Bruce Bennet,American,Male,1961.0,
7005,Matthew Barney,American,Male,1967.0,
7035,Gregory Crewdson,American,Male,1962.0,
7039,Ken Schles,American,Male,1960.0,
7047,Christian Leborg,Norwegian,Male,1966.0,
7054,Vincent Borrelli,American,Male,1960.0,
7079,Heribert Ottersbach,German,Male,1960.0,
7085,Paul Castrucci,American,Male,1978.0,
7088,Stash Two (Josh Franklin),American,Male,1967.0,
7093,Nadia Coën,American,Female,1961.0,
7096,Andrew Castrucci,American,Male,1961.0,
7097,Betzaida Concepción,American,Female,1977.0,
7099,Sabrina Jones,American,Female,1960.0,
7103,Lee Quinones,American,Male,1960.0,
7105,Sebastian Schroder,German,Male,1961.0,
7107,Walter Sipser,American,Male,1961.0,
7122,Guillermo Kuitca,Argentine,Male,1961.0,
7172,John E. Mullin,American,Male,1963.0,
7176,Craig Schuster,Australian,Male,1960.0,
7206,"Bell Laboratories, company design",American,,1974.0,
7222,Mary Kocol,American,Female,1962.0,
7239,Steven T. Kaneko,American,Male,1962.0,
7276,FM Designs,British,,1988.0,
7280,Tim Parsey,British,Male,1960.0,
7282,Bashir Zivari,American,Male,1961.0,
7388,Matthew Abbott,British,Male,1965.0,
7400,Marc van de Loo,Swiss,Male,1966.0,
7419,Scott Marble,American,Male,1960.0,
7420,Yoshito Takahashi,Japanese,Male,1962.0,
7448,Rodolfo Bretzel,Italian,Male,1966.0,
7451,Vincent de Rijk,Dutch,Male,1962.0,
7460,Simon Leung,American,Male,1964.0,
7461,Gabriel Orozco,Mexican,Male,1962.0,
7466,Cliff Chi,American,Male,1964.0,
7473,Grenville Davey,British,Male,1961.0,
7476,Federico Guzmán,Spanish,Male,1964.0,
7479,Rirkrit Tiravanija,Thai,Male,1961.0,
7487,Tom Friedman,American,Male,1965.0,
7490,Kcho (Alexis Leyva Machado),Cuban,Male,1970.0,
7491,Simon Patterson,British,Male,1967.0,
