Artist ID,Name,Nationality,Gender,Birth Year,Death Year
18,Artko,,,,
22,Isidora Aschheim,Israeli,Female,,
26,Göran Åslin,Swedish,,1940.0,
32,Atelier Eggers,French,,,
33,A.A.P.,American,,,
55,Norman Ackroyd,British,Male,,
78,Aftograf,Russian,,,
98,Beatrice Albert,American,Female,,
101,Album-miscellaneous,Various,,,
105,A. Alcorn,American,,,
111,Carlo Alfano,Italian,Male,,
113,Leopoldo and Guiseppe Alinari,Italian,,,
139,Kunihiro Amano,Japanese,Male,,
142,M. Ameen,Nationality unknown,,,
152,Ralph Ammirati,American,Male,,
176,A. Andreas,French,,,
185,Bruce Angrave,British,Male,,
201,Aoki Toshio,,,,
204,Leon Appelbaum,American,Male,,
215,Tamotsu Arikawa,Japanese,Male,,
218,Alda Maria Armagni,Argentine,Female,,
222,F. Armbruster,Nationality unknown,,,
228,Arndt,German,,1898.0,1976.0
242,Keith James Aulik,Nationality unknown,Male,,
245,Irving Austin,American,Male,,
251,David Avison,American,Male,,
252,Mordechai Avniel,Israeli,Male,,
266,Bacard Fils,French,Male,,
293,E. Bakalowitz Söhne,Austrian,,1845.0,
294,Carl Baker,American,Male,,
299,Gerhard H. Bakker,American,Male,,
337,Cyril H. Barnes,American,Male,,
347,Steve Barraclough,British,Male,,
373,Giampiero Bassi,Italian,,1926.0,
382,"Harry W. Batz, Jr.",American,Male,,
387,Bauhaus,German,,,
396,Glen Baxter,British,Male,,
415,Beath,British,,1913.0,1991.0
418,Leslie Beaton,American,Female,,
426,A. Becker,German,,,
437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",British,,1866.0,1949.0
461,David Ben Shaul,Israeli,Male,,
466,C. Whitney Bender,American,,1929.0,
474,Anthony Benjamin,British,Male,,
491,Berger (?),British,,1938.0,
498,Paul Bergtold,Nationality unknown,Male,,
509,Thoni Bern,Swiss,,,
523,Bertall & Cie.,French,,,
524,M. Berthaud,French,,,
525,Palme Berthold,,,,
532,Emilio Bertonati,Italian,Male,,
535,Ruth Bessoudo Courvoisier,Brazilian,Female,,
537,William Betsch,American,Male,,
541,Art Bevacqua,Nationality unknown,Male,,
548,Carl Bianga,German,Male,,
583,Roman Black,Nationality unknown,Male,,
601,Blessum,Nationality unknown,,,
606,Clarence Lincoln Block,Nationality unknown,Male,,
627,Peter Bodner,Nationality unknown,Male,,
634,Jóhanna Boga,Icelandic,Female,,
642,Charles Boily,French,Male,,
643,Boissonas,Swiss,,,
653,Giorgio Bompadre,Italian,Male,,
656,Emile Bondonneau,French,Male,,
666,William Bonnell,American,Male,,
669,Robert Bononno,American,Male,,
677,Wendela Boreel,British,Female,,
684,Arnold von Borsig,German,Male,,
690,Michael P. Bosniak,American,Male,,
700,Jean Boucher,French,Male,,
702,Bouillon,French,,,
704,Bart Boumans,Dutch,Male,,
709,Jouineau Bourduge,French,,,
714,J. Bouski,Polish,,,
717,Boutrou,French,,,
730,Martin Bradley,British,Male,,
739,Hans Brand,German,Male,,
750,Braun et Compagnie,French,Male,,
763,Bjorn G. Breitholtz,Swedish,Male,,
772,Charles D. Briddell,American,Male,,
775,G. Stanislaus Brien,British,,,
782,L. N. Britton,American,,1858.0,1934.0
789,Alexander Brodsky,Russian,Male,,
809,Margaret DeM Brown,American,Female,,
812,William Brown,American,Male,,
827,Brumhoff,Nationality unknown,,,
831,Albin Brunovsky,Slovak,Male,,
846,Peer Bücking,German,,1906.0,1940.0
849,Stephen Buckley,British,Male,,
852,Budry,Greek,,,
875,Burkhard,Swiss,,,
904,C.N. and Company,British,,,
905,Roland Cabot,Brazilian,Male,,
907,Cadavre Exquis,French,,,
927,Edwin Calligan,British,Male,,
931,"P. E. Camerer, St. Paul, MN",American,,,
937,Nickie Campbell,American,,1962.0,
954,Federico Cantú,Mexican,Male,,
964,Aida Carballo,Argentine,Female,,
973,C. Carleton,American,,,
975,Charles W. Carlson,American,Male,,
978,Natacha Carlu,Nationality unknown,Female,,
983,Carol,Cuban,,,
984,Paolo Carosone,Italian,Male,,
985,Carpenter,British,,,
989,Clara Carrié,Argentine,Female,,
1011,Casio Computer Co. Ltd.,Japanese,,1957.0,
1013,Felice Casorati,Italian,Female,,
1021,Rodolfo V Castagna,Argentine,Male,,
1024,Pedro Castelar Báez,Mexican,Male,,
1033,Vita Castro,Mexican,Female,,
1035,P. H. Caswell,American,,,
1040,Cause,French,,,
1046,Stojan Celic,Nationality unknown,Male,,
1047,Perez Celis,Argentine,Male,,
1049,Centrokappa Design and Communication,Italian,,1972.0,
1051,Emilio Cerri,Italian,Male,,1947.0
1056,Roger Chailloux,Dutch,Male,,
1062,Chambers,American,,,
1069,André Chapon,French,Male,,
1086,Bernard Cheese,British,Male,,
1088,Cheng Sha Ping,Chinese,,,
1098,Miriam Chiaverini,Nationality unknown,Female,,
1100,John Chick,American,Male,,
1102,Chikuchi Toshio,,,,
1111,Gilles-Louis Chrétien,French,Male,,
1119,Caldecot Chubb,American,Male,,
1120,John W. Church,American,Male,,
1143,Gisela Clemens,German,Female,,
1144,Mildred Leo Clemens,Nationality unknown,Female,,
1150,Henry Cliffe,British,Male,,
1158,Emile Clouet,French,Male,,
1159,Prunella Clough,British,Female,,
1160,Stanley T. Clough,American,Male,,
1167,Sam Cocomise,Nationality unknown,Male,,
1171,Haskell Coffin,American,Male,,
1181,Isaac I. Cole,American,Male,,
